SEXO,EDAD,NIVEL_EDUCATIVO,ETNIA,TUVO_TRABAJO,TIPO_TRABAJADOR,BUSCA_OTRO_TRABAJO,NIVEL_OCUPACION,REGISTRO_SUNAT,TAMANO_EMPRESA,QUIERE_MAS_HORAS,LIBROS_CONTABLES,FRECUENCIA_PAGO,INGRESO_PRINCIPAL,LIMIT_MOVIMIENTO,LIMIT_VISION,LIMIT_COMUNICACION,LIMIT_AUDICION,LIMIT_APRENDIZAJE,LIMIT_RELACION,SEGURO_SALUD,DIAS_AUSENTE
1,42,11,7,1,3.0,2.0,1,,5.0,2.0,,4.0,8083.0,2,2,2,2,2,2,1,2.0
2,33,11,7,1,3.0,2.0,1,,5.0,2.0,,4.0,8083.0,2,2,2,2,2,2,1,2.0
1,52,12,7,1,3.0,2.0,1,,5.0,2.0,,4.0,8050.0,2,2,2,2,2,2,1,2.0
1,71,12,7,1,3.0,2.0,1,,5.0,2.0,,4.0,8050.0,2,2,2,2,2,2,1,2.0
1,52,12,9,1,3.0,2.0,1,,5.0,2.0,,4.0,8050.0,2,2,2,2,2,2,1,2.0
2,48,12,7,1,3.0,2.0,1,,5.0,2.0,,4.0,8050.0,2,2,2,2,2,2,1,2.0
2,49,12,7,1,3.0,2.0,1,,5.0,2.0,,4.0,8050.0,2,2,2,2,2,2,1,2.0
1,47,12,7,1,3.0,2.0,1,,5.0,1.0,,4.0,8050.0,2,2,2,2,2,2,1,2.0
2,36,12,7,1,3.0,1.0,1,,5.0,2.0,,4.0,8050.0,2,2,2,2,2,2,1,2.0
1,35,11,6,1,1.0,2.0,1,1.0,1.0,1.0,,,8000.0,2,2,2,2,2,2,2,2.0
1,41,11,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,8000.0,2,2,2,2,2,2,3,2.0
1,69,11,7,1,1.0,2.0,1,1.0,1.0,2.0,,,8000.0,2,2,2,2,2,2,1,2.0
2,29,11,7,1,3.0,2.0,1,1.0,1.0,2.0,,4.0,8000.0,2,2,2,2,2,2,6,2.0
1,59,11,7,1,1.0,2.0,1,1.0,1.0,2.0,,,8000.0,2,2,2,2,2,2,3,2.0
1,50,9,7,1,1.0,2.0,1,2.0,1.0,2.0,1.0,,8000.0,2,2,2,2,2,2,5,2.0
1,78,11,7,1,1.0,2.0,1,1.0,1.0,1.0,,,8000.0,2,2,2,2,2,2,1,2.0
1,40,12,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,7842.0,2,2,2,2,2,2,1,2.0
1,56,12,7,1,2.0,2.0,1,2.0,1.0,2.0,2.0,,7700.0,2,2,2,2,2,2,2,2.0
2,57,12,7,1,2.0,2.0,1,2.0,1.0,2.0,2.0,,7700.0,2,2,2,2,2,2,2,2.0
1,49,11,6,1,3.0,2.0,1,1.0,3.0,2.0,,4.0,7666.0,2,2,2,2,2,2,3,2.0
1,62,10,7,1,3.0,2.0,1,,5.0,2.0,,4.0,7665.0,2,2,2,2,2,2,1,2.0
1,66,11,6,1,3.0,2.0,1,1.0,3.0,1.0,,4.0,7654.0,2,2,2,2,2,2,1,2.0
2,68,10,7,1,3.0,2.0,1,,5.0,2.0,,4.0,7584.0,2,2,2,2,2,2,1,2.0
2,36,11,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,7575.0,2,2,2,2,2,2,3,2.0
1,37,11,7,1,3.0,2.0,1,1.0,4.0,2.0,,4.0,7567.0,2,2,2,2,2,2,3,2.0
1,67,11,7,1,3.0,2.0,1,1.0,4.0,1.0,,3.0,7517.0,2,2,2,2,2,2,1,2.0
2,39,12,7,1,3.0,2.0,1,,5.0,1.0,,4.0,7509.0,2,2,2,2,2,2,1,2.0
1,47,12,7,1,3.0,2.0,1,,5.0,1.0,,4.0,7500.0,2,2,2,2,2,2,1,2.0
